type,rating_category,Duration_Category,movie_age,country_category,Directors,Title_Words,Content Age
Movie,Adult,Long,9,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Long,20,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Family-friendly,Series(X Seasons),10,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Medium,9,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Family-friendly,Series(X Seasons),10,India,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Short,12,India,Other Directors,11-15 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,8,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Very Long,11,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Family-friendly,Series(X Seasons),10,United Kingdom,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,7,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,9,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Very Long,16,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),15,United Kingdom,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,11,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Medium,7,Other Countries,Other Directors,6-10 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,7,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Long,30,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,16,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,9,United Kingdom,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,7,United Kingdom,Other Directors,6-10 Words,New Releases (0-5 years)
Movie,Adult,Long,16,United States,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),7,United Kingdom,Other Directors,6-10 Words,New Releases (0-5 years)
Movie,Adult,Long,10,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Adult,Series(X Seasons),17,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,14,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Short,10,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Family-friendly,Series(X Seasons),15,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,18,United States,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Family-friendly,Series(X Seasons),15,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Family-friendly,Medium,12,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,8,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Family-friendly,Series(X Seasons),6,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,15,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Adult,Series(X Seasons),16,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),8,South Korea,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Long,19,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Medium,8,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Medium,9,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,33,Other Countries,Other Directors,6-10 Words,Moderately Aged (6-10 years)
Movie,Adult,Medium,15,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Very Long,9,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Short,7,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Long,11,United Kingdom,Other Directors,6-10 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Medium,7,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Medium,6,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Medium,8,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Long,9,India,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Teen/Young Adult,Series(X Seasons),12,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Medium,8,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Medium,7,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Long,10,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Very Long,19,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Teen/Young Adult,Series(X Seasons),10,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,10,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,8,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Medium,6,United States,Other Directors,6-10 Words,New Releases (0-5 years)
Movie,Adult,Very Long,51,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,17,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,11,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Epic,22,Other Countries,Other Directors,6-10 Words,New Releases (0-5 years)
Movie,Adult,Epic,23,Other Countries,Other Directors,6-10 Words,New Releases (0-5 years)
Movie,Adult,Medium,17,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,9,United Kingdom,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Medium,43,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Medium,32,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Medium,8,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Family-friendly,Series(X Seasons),13,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Medium,16,United States,Other Directors,6-10 Words,Moderately Aged (6-10 years)
Movie,Adult,Very Long,27,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Very Long,26,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Very Long,22,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Very Long,22,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,7,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Very Long,8,South Korea,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Short,81,United States,Other Directors,6-10 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,16,Other Countries,Other Directors,6-10 Words,New Releases (0-5 years)
TV Show,Teen/Young Adult,Series(X Seasons),10,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Family-friendly,Series(X Seasons),9,United States,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Family-friendly,Series(X Seasons),13,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),8,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,9,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,9,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Medium,10,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Adult,Series(X Seasons),7,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Adult,Series(X Seasons),8,Other Countries,Other Directors,6-10 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Long,14,United States,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),10,United Kingdom,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Long,8,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Medium,34,Other Countries,Other Directors,6-10 Words,New Releases (0-5 years)
Movie,Adult,Medium,37,United States,Other Directors,6-10 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Very Long,41,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Short,81,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Adult,Series(X Seasons),4,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Medium,7,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Teen/Young Adult,Series(X Seasons),8,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Medium,9,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Long,7,United States,Other Directors,6-10 Words,New Releases (0-5 years)
TV Show,Teen/Young Adult,Series(X Seasons),13,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,11,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Family-friendly,Long,17,Other Countries,Other Directors,6-10 Words,New Releases (0-5 years)
Movie,Adult,Long,15,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,24,United Kingdom,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Very Long,28,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Very Long,32,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,7,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,13,United States,Other Directors,6-10 Words,New Releases (0-5 years)
Movie,Adult,Very Long,21,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Epic,12,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Long,19,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Family-friendly,Medium,11,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,8,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Medium,13,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Very Long,13,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Very Long,10,India,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,13,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Family-friendly,Long,21,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,8,Other Countries,Other Directors,11-15 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,21,South Korea,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,11,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,21,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Family-friendly,Long,16,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Very Long,8,South Korea,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Medium,6,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,19,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Medium,7,United States,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Family-friendly,Series(X Seasons),16,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Long,17,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Very Long,28,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Teen/Young Adult,Series(X Seasons),9,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Family-friendly,Short,15,India,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Adult,Series(X Seasons),19,United Kingdom,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Medium,10,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Medium,9,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,8,United States,Other Directors,6-10 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,9,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Medium,10,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),10,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Medium,9,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,9,Other Countries,Other Directors,6-10 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Long,14,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,23,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,11,United Kingdom,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,31,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Teen/Young Adult,Series(X Seasons),8,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,9,United Kingdom,Other Directors,11-15 Words,New Releases (0-5 years)
Movie,Adult,Long,14,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,11,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,14,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Medium,10,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,11,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,13,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Very Long,24,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,10,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Short,9,United States,Other Directors,6-10 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Medium,6,Other Countries,Other Directors,6-10 Words,New Releases (0-5 years)
Movie,Adult,Long,11,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Family-friendly,Series(X Seasons),10,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Very Long,11,India,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,8,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,70,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,11,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Epic,12,Other Countries,Other Directors,6-10 Words,Moderately Aged (6-10 years)
TV Show,Adult,Series(X Seasons),8,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Very Long,15,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,9,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,12,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Medium,47,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,15,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,6,United Kingdom,Other Directors,6-10 Words,New Releases (0-5 years)
Movie,Adult,Very Long,10,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Teen/Young Adult,Series(X Seasons),8,United States,Other Directors,6-10 Words,New Releases (0-5 years)
TV Show,Teen/Young Adult,Series(X Seasons),8,United States,Other Directors,6-10 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Medium,8,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,10,United Kingdom,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Medium,8,United States,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Family-friendly,Series(X Seasons),36,Other Countries,Other Directors,6-10 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Long,7,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,16,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Very Long,26,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Medium,51,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,12,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,9,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Short,8,United Kingdom,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,23,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,16,United States,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),9,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,8,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,29,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,9,United Kingdom,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,10,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Short,9,United Kingdom,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Adult,Series(X Seasons),15,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,23,United States,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Teen/Young Adult,Series(X Seasons),62,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,16,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,14,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Adult,Series(X Seasons),8,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Teen/Young Adult,Series(X Seasons),16,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,9,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,12,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,10,United States,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),8,United States,Other Directors,11-15 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Long,10,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Teen/Young Adult,Series(X Seasons),18,United States,Other Directors,6-10 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,11,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,18,Other Countries,Other Directors,6-10 Words,Moderately Aged (6-10 years)
Movie,Adult,Medium,27,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Long,19,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,8,Other Countries,Other Directors,6-10 Words,New Releases (0-5 years)
TV Show,Teen/Young Adult,Series(X Seasons),20,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,10,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Medium,7,United States,Other Directors,1-5 Words,Moderately Aged (6-10 years)
TV Show,Adult,Series(X Seasons),15,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Short,9,United Kingdom,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Long,9,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Long,8,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Adult,Very Long,26,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Family-friendly,Short,7,United Kingdom,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Medium,8,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Family-friendly,Series(X Seasons),16,Other Countries,Other Directors,6-10 Words,Moderately Aged (6-10 years)
Movie,Adult,Medium,9,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Medium,40,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Family-friendly,Long,9,Other Countries,Other Directors,1-5 Words,Moderately Aged (6-10 years)
Movie,Teen/Young Adult,Long,8,India,Other Directors,1-5 Words,Moderately Aged (6-10 years)
